model,type_experiment,n_trainable_params,cl_technique,hyperparams,experiment_name,time,dataset_currently_testing,dataset_currently_training,dataset_wrt_training_datasets,target_epochs,best_epochs,learning_rate,batch_size,current_num_samples_training,cumulative_samples_trained,f1_score,precision_score,recall_score,accuracy,HATE_f1_score,HATE_precision_score,HATE_recall_score,NoHATE_f1_score,NoHATE_precision_score,NoHATE_recall_score
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,davidson,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.8481937959181841,0.8778860842365608,0.8274694055944056,0.8917710196779964,0.766859344894027,0.8540772532188842,0.6958041958041958,0.9295282469423413,0.9016949152542373,0.9591346153846154
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,founta_hateful_57k,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.7644550525169795,0.8161013675527731,0.729454249385168,0.9456891291081858,0.5578424414478353,0.6717948717948717,0.47694174757281554,0.9710676635861236,0.9604078633106743,0.9819667511975204
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,ibereval,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.6633912146094136,0.6899144486692015,0.6593615646611204,0.7011019283746557,0.5507246376811594,0.665,0.46996466431095407,0.7760577915376677,0.714828897338403,0.8487584650112867
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,hateval-immigrant,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.6413379380325865,0.6605026810210395,0.6406867313561025,0.6677785190126752,0.5439560439560439,0.6414686825053996,0.47217806041335453,0.7387198321091291,0.6795366795366795,0.8091954022988506
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,hateval-women,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.5562255049743744,0.6683331911990449,0.6194191258907183,0.5740489130434783,0.6451612903225806,0.4982517482517482,0.9149277688603531,0.4672897196261682,0.8384146341463414,0.32391048292108365
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,waseem-racism,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.7182825194324561,0.7498259970440979,0.6970625513994197,0.8730696798493409,0.5094614264919942,0.5912162162162162,0.4475703324808184,0.927103612372918,0.9084357778719796,0.9465547703180212
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,evalita,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.6179755504352278,0.6229733221368129,0.6226247987117552,0.618,0.621031746031746,0.5711678832116789,0.6804347826086956,0.6149193548387096,0.6747787610619469,0.5648148148148148
diptanu/fBERT,GO,109483778,MERGED_FT,,davidson-TO-founta_hateful_57k-TO-ibereval-TO-hateval-immigrant-TO-hateval-women-TO-waseem-racism,0,waseem-sexism,"['davidson', 'founta_hateful_57k', 'ibereval', 'hateval-immigrant', 'hateval-women', 'waseem-racism']",ZERO_SHOT_not_in_training_stream,8,8,1e-05,32,71350,71350,0.46241700430623023,0.4813529345972094,0.4945028411432717,0.7450980392156863,0.07259073842302878,0.1858974358974359,0.04510108864696734,0.8522432701894317,0.7768084332969829,0.943904593639576
diptanu/fBERT,GO,109483778,MERGED_FT,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,evalita,"['evalita', 'waseem-racism', 'ibereval', 'hateval-immigrant']",ZERO_SHOT_not_in_training_stream,8,6,1e-05,32,23308,23308,0.6532663115151661,0.6535421100638492,0.6545088566827697,0.654,0.6373165618448637,0.6153846153846154,0.6608695652173913,0.6692160611854685,0.691699604743083,0.6481481481481481
diptanu/fBERT,GO,109483778,MERGED_FT,,evalita-TO-waseem-racism-TO-ibereval-TO-hateval-immigrant,0,waseem-racism,"['evalita', 'waseem-racism', 'ibereval', 'hateval-immigrant']",ZERO_SHOT_not_in_training_stream,8,6,1e-05,32,23308,23308,0.7889123885416749,0.80099432581826,0.7782877554155785,0.8979284369114877,0.6372155287817939,0.6685393258426966,0.6086956521739131,0.940609248301556,0.9334493257938234,0.9478798586572438
